,庭审程序分类
6215,已审理（简易）
6216,已审理（简易）
6217,已受理/立案
6218,已审理（简易）
6219,已审理（简易）
6220,已审理（简易）
6221,已受理/立案
6222,已审理（简易）
6223,已受理/立案
6224,已审理（简易）
6225,已审理（简易）
6226,已审理（简易）
6227,已审理（简易）
6228,已审理（简易）
6229,已受理/立案
6230,已审理（简易）
6231,申请财产保全
6232,已受理/立案
6233,已审理（简易）
6234,已受理/立案
6235,已审理（简易）
6236,已审理（简易）
6237,已审理（简易）
6238,已受理/立案
6239,已审理（简易）
6240,已受理/立案
6241,已受理/立案
6242,已受理/立案
6243,其他撤诉
6244,已审理（简易）
6245,已审理（简易）
6246,已审理（简易）
6247,已审理（简易）
6248,已审理（简易）
6249,已审理（简易）
6250,已受理/立案
6251,已审理（简易）
6252,已受理/立案
6253,已受理/立案（简易）
6254,已审理（简易）
6255,空白
6256,已审理（简易）
6257,其他/错误
6258,已审理（简易）
6259,已审理（简易）
6260,已受理/立案（简易）
6261,已受理/立案
6262,已审理（简易）
6263,已审理（简易）
6264,已审理（简易）
6265,已审理（简易）
6266,已审理（简易）
6267,已受理/立案
6268,已受理/立案
6269,缺席审判
6270,已受理/立案
6271,已审理（简易）
6272,已受理/立案
6273,已受理/立案
6274,其他撤诉
6275,已审理（简易）
6276,已审理（简易）
6277,已审理（简易）
6278,未交费
6279,已审理（简易）
6280,已审理（简易）
6281,已审理
6282,已审理（简易）
6283,已受理/立案
6284,已审理（简易）
6285,已审理（简易）
6286,已审理（简易）
6287,已审理（简易）
6288,已审理（简易）
6289,已审理（简易）
6290,已审理（简易）
6291,其他撤诉
6292,已审理（简易）
6293,已受理/立案（简易）
6294,已审理（简易转普通）
6295,已审理（简易）
6296,已审理（简易）
6297,已受理/立案
6298,其他/错误
6299,已审理（简易）
6300,已审理（简易）
6301,已审理（简易）
6302,已受理/立案
6303,已受理/立案
6304,已审理（简易）
6305,已审理（简易）
6306,已审理（简易）
6307,已审理（简易）
6308,已受理/立案
6309,已审理（简易）
6310,已审理（简易）
6311,已审理（简易）
6312,已审理（简易）
6313,已审理（简易）
6314,已审理（简易）
6315,已受理/立案
6316,已受理/立案
6317,已审理（简易）
6318,已审理（简易）
6319,已审理（简易）
6320,已受理/立案
6321,已受理/立案
6322,已审理（简易）
6323,已审理（简易）
6324,已审理（简易）
6325,已受理/立案（简易）
6326,已受理/立案
6327,已受理/立案
6328,其他撤诉
6329,已受理/立案
6330,已审理（简易）
6331,已审理（简易转普通）
6332,已受理/立案
6333,已审理（简易）
6334,已审理（简易）
6335,已审理（简易）
6336,已审理（简易）
6337,已审理（简易）
6338,已审理（简易）
6339,已审理（简易）
6340,已受理/立案
6341,已受理/立案
6342,已审理（简易）
6343,已审理（简易）
6344,其他/错误
6345,已受理/立案
6346,已受理/立案
6347,已审理（简易）
6348,已受理/立案
6349,已审理（简易）
6350,未交费
6351,已审理（简易）
6352,已受理/立案
6353,已审理（简易）
6354,已审理（简易）
6355,已审理（简易）
6356,已审理（简易）
6357,已受理/立案
6358,其他撤诉
6359,已审理（简易）
6360,已审理（简易）
6361,已审理（简易）
6362,已审理（简易）
6363,已审理（简易转普通）
6364,已审理（简易）
6365,已审理（简易转普通）
6366,已受理/立案
6367,已受理/立案
6368,已受理/立案
6369,已受理/立案
6370,已审理（简易转普通）
6371,空白
6372,已受理/立案
6373,已受理/立案
6374,已受理/立案
6375,已审理（简易）
6376,已受理/立案
6377,已受理/立案
6378,调解撤诉
6379,已受理/立案
6380,其他撤诉
6381,已受理/立案（简易）
6382,已受理/立案
6383,已审理（简易）
6384,空白
6385,空白
6386,已审理（简易）
6387,已审理（简易）
6388,已审理（简易）
6389,已受理/立案
6390,已受理/立案
6391,已受理/立案（简易）
6392,已审理（简易）
6393,已审理（简易）
6394,已审理
6395,已受理/立案
6396,已审理（简易）
6397,已审理（简易）
6398,已审理（简易）
6399,已审理（简易）
6400,已审理（简易）
6401,已审理（简易）
6402,已审理（简易）
6403,已审理（简易）
6404,已审理（简易）
6405,已受理/立案
6406,已受理/立案
6407,已审理（简易转普通）
6408,已受理/立案（简易）
6409,已审理（简易）
6410,已受理/立案
6411,已受理/立案
6412,已受理/立案
6413,已审理（简易）
6414,已受理/立案
6415,已受理/立案
6416,已受理/立案
6417,已审理（简易）
6418,已审理（简易）
6419,已审理（简易转普通）
6420,已受理/立案
6421,已审理（简易）
6422,已受理/立案
6423,已审理（简易）
6424,已受理/立案
6425,其他撤诉
6426,已审理（简易）
6427,已受理/立案
6428,已审理（简易）
6429,已审理（简易）
6430,已审理（简易转普通）
6431,已审理（简易）
6432,已受理/立案
6433,已受理/立案
6434,已审理（简易）
6435,已受理/立案
6436,已审理（简易）
6437,已审理（简易）
6438,已受理/立案
6439,已审理（简易）
6440,已审理（简易）
6441,已审理（简易）
6442,已受理/立案
6443,已受理/立案
6444,已审理（简易）
6445,已受理/立案
6446,已受理/立案
6447,空白
6448,已受理/立案（简易）
6449,已审理（简易）
6450,已受理/立案
6451,已受理/立案
6452,已受理/立案
6453,已审理（简易）
6454,已受理/立案
6455,已受理/立案
6456,已审理（简易）
6457,已审理（简易）
6458,已审理（简易）
6459,已审理（简易转普通）
6460,已受理/立案
6461,已受理/立案
6462,已审理（简易）
6463,已受理/立案
6464,已受理/立案（简易）
6465,已审理（简易）
6466,已审理（简易）
6467,已受理/立案
6468,已审理（简易）
6469,已审理（简易）
6470,已受理/立案
6471,已受理/立案
6472,已审理（简易转普通）
6473,已受理/立案
6474,已受理/立案
6475,已受理/立案
6476,已受理/立案
6477,已审理（简易）
6478,已受理/立案
6479,已受理/立案
6480,已受理/立案
6481,已受理/立案
6482,已审理（简易）
6483,已审理（简易）
6484,已审理（简易）
6485,已审理（简易）
6486,已受理/立案
6487,已审理（简易）
6488,已受理/立案
6489,已审理（简易）
6490,已审理（简易）
6491,已受理/立案
6492,已审理（简易）
6493,已审理（简易）
6494,已审理（简易）
6495,未交费
6496,已审理（简易）
6497,已审理（简易）
6498,已受理/立案
6499,已审理（简易）
6500,已审理（简易转普通）
6501,已受理/立案
6502,已审理（简易）
6503,其他/错误
6504,已审理（简易）
6505,其他撤诉
6506,已受理/立案
6507,其他撤诉
6508,已审理（简易）
6509,已审理（简易）
6510,已审理（简易）
6511,已审理（简易）
6512,已受理/立案
6513,已审理（简易）
6514,已审理（简易）
6515,其他撤诉
6516,已审理（简易）
6517,已受理/立案
6518,已受理/立案
6519,已审理（简易）
6520,已审理（简易）
6521,已审理（简易）
6522,已受理/立案
6523,已审理（简易）
6524,已审理（简易）
6525,已受理/立案
6526,已受理/立案
6527,已受理/立案
6528,已受理/立案
6529,空白
6530,已审理（简易）
6531,已受理/立案（简易）
6532,已受理/立案
6533,已审理（简易）
6534,已受理/立案
6535,已审理（简易）
6536,已审理（简易）
6537,已受理/立案
6538,已审理（简易）
6539,已审理（简易）
6540,已审理
6541,已审理（简易）
6542,已审理（简易）
6543,已受理/立案
6544,已审理（简易）
6545,未交费
6546,已审理（简易）
6547,已受理/立案
6548,已受理/立案
6549,已审理（简易）
6550,已审理（简易）
6551,已审理（简易）
6552,已审理（简易转普通）
6553,已受理/立案
6554,已审理（简易）
6555,已受理/立案
6556,已审理（简易）
6557,已审理（简易）
6558,已受理/立案
6559,已审理（简易）
6560,已审理（简易）
6561,已审理（简易）
6562,已审理（简易）
6563,已审理（简易）
6564,已受理/立案
6565,已审理（简易）
6566,已审理（简易）
6567,已受理/立案
6568,已审理（简易）
6569,已受理/立案
6570,已受理/立案
6571,已受理/立案
6572,已受理/立案
6573,已审理（简易）
6574,已审理（简易）
6575,已审理（简易）
6576,已受理/立案
6577,已审理（简易）
6578,已审理
6579,已审理（简易）
6580,已受理/立案
6581,已审理（简易）
6582,缺席审判
6583,已审理（简易转普通）
6584,已审理（简易）
6585,已受理/立案
6586,已受理/立案
6587,已审理（简易）
6588,已审理（简易）
6589,已审理（简易）
6590,已审理（简易）
6591,已审理（简易）
6592,已审理（简易）
6593,已受理/立案
6594,已审理（简易）
6595,已受理/立案
6596,已审理（简易）
6597,未交费
6598,已审理（简易）
6599,已受理/立案
6600,已审理（简易）
6601,已受理/立案
6602,已受理/立案
6603,已审理（简易）
6604,已审理（简易）
6605,空白
6606,已审理（简易）
6607,已受理/立案
6608,已受理/立案
6609,已审理（简易）
6610,其他/错误
6611,已审理（简易）
6612,已审理（简易）
6613,已审理（简易）
6614,已审理（简易）
6615,已受理/立案
6616,已受理/立案
6617,已审理（简易）
6618,已受理/立案
6619,已审理（简易）
6620,已审理（简易）
6621,已受理/立案
6622,已审理（简易）
6623,已审理（简易）
6624,已受理/立案
6625,已受理/立案
6626,已审理（简易）
6627,已审理（简易）
6628,已受理/立案
6629,已受理/立案
6630,已审理（简易）
6631,已审理（简易）
6632,已受理/立案
6633,已审理（简易）
6634,已审理（简易）
6635,已受理/立案
6636,已受理/立案
6637,已受理/立案
6638,已受理/立案
6639,已受理/立案
6640,已审理（简易）
6641,已审理（简易）
6642,已审理（简易）
6643,已受理/立案
6644,已审理（简易）
6645,已受理/立案
6646,已审理（简易）
6647,已受理/立案
6648,已审理（简易）
6649,已审理（简易）
6650,已受理/立案
6651,要求再审
6652,已审理（简易）
6653,调解撤诉
6654,已受理/立案
6655,已审理（简易）
6656,已审理（简易）
6657,已受理/立案
6658,已受理/立案（简易）
6659,已审理（简易）
6660,已受理/立案
6661,已审理
6662,已审理（简易）
6663,已审理（简易）
6664,已审理（简易）
6665,已审理（简易）
6666,已审理（简易）
6667,已审理
6668,已审理（简易）
6669,已受理/立案
6670,已受理/立案
6671,已受理/立案
6672,已受理/立案
6673,已受理/立案
6674,已审理（简易）
6675,其他/错误
6676,已审理（简易）
6677,已审理（简易）
6678,已受理/立案
6679,已审理（简易）
6680,已审理（简易）
6681,已受理/立案
6682,已受理/立案
6683,已审理（简易）
6684,已审理（简易）
6685,已审理（简易）
6686,已审理（简易转普通）
6687,已审理（简易）
6688,已受理/立案
6689,已受理/立案
6690,已审理（简易）
6691,已受理/立案
6692,已审理（简易）
6693,已审理（简易）
6694,已审理（简易转普通）
6695,已受理/立案
6696,已审理（简易）
6697,已受理/立案
6698,已审理（简易）
6699,已受理/立案
6700,已受理/立案
6701,已审理（简易）
6702,已审理（简易）
6703,已审理（简易）
6704,已审理（简易）
6705,已审理（简易）
6706,调解撤诉
6707,已受理/立案
6708,已审理（简易）
6709,已审理（简易）
6710,已审理（简易）
6711,已审理
6712,已审理（简易）
6713,已受理/立案
6714,已审理（简易）
6715,申请财产保全
6716,已审理（简易）
6717,已受理/立案
6719,已审理（简易）
6720,空白
6721,已审理（简易）
6722,已审理（简易）
6723,空白
6724,已审理（简易）
6725,已受理/立案
6726,已审理（简易）
6727,已受理/立案
6728,已受理/立案
6729,已审理（简易）
6730,调解撤诉
6731,已审理（简易）
6732,已审理（简易）
6733,已审理（简易）
6734,已审理（简易）
6735,已审理（简易）
6736,其他/错误
6737,已审理（简易）
6738,已审理（简易）
6739,已审理（简易）
6740,已审理（简易）
6741,已受理/立案
6742,已受理/立案
6743,已审理（简易）
6744,已受理/立案
6745,已受理/立案
6746,已受理/立案
6747,其他/错误
6748,申请财产保全
6749,已审理（简易）
6750,已审理（简易）
6751,已审理（简易）
6752,已审理（简易）
6753,已审理（简易）
6754,已受理/立案
6755,已审理（简易）
6756,已受理/立案
6757,已审理（简易）
6758,已受理/立案
6759,已审理（简易）
6760,空白
6761,已受理/立案（简易）
6762,已审理（简易）
6763,已审理（简易）
6764,已审理（简易）
6765,已审理（简易）
6766,已审理（简易）
6767,已审理（简易）
6768,已审理（简易）
6769,已审理（简易）
6770,已审理（简易）
6771,已审理（简易）
6772,已审理（简易）
6773,已审理（简易）
6774,已审理（简易）
6775,已审理（简易）
6776,已受理/立案
6777,已受理/立案（简易）
6778,已审理（简易）
6779,已审理（简易）
6780,已审理（简易）
6781,已审理（简易）
6782,已受理/立案
6783,已受理/立案
6784,已审理（简易）
6785,已审理（简易）
6786,已受理/立案（简易）
6787,已受理/立案
6788,已受理/立案
6789,已审理（简易）
6790,已受理/立案
6791,已受理/立案
6792,已审理（简易）
6793,已受理/立案
6794,已受理/立案
6795,已受理/立案
6796,已受理/立案
6797,已审理（简易）
6798,已审理（简易）
6799,其他撤诉
6800,已审理（简易）
6801,已审理（简易）
6802,已审理（简易）
6803,已审理（简易）
6804,已受理/立案
6805,已审理（简易）
6806,已审理（简易）
6807,其他撤诉
6808,已审理（简易）
6809,已审理（简易）
6810,已审理（简易转普通）
6811,已审理（简易）
6812,已审理（简易）
6813,已审理（简易）
6814,已审理（简易）
6815,已受理/立案
6816,已受理/立案
6817,已受理/立案
6818,已受理/立案
6819,已审理（简易）
6820,已审理（简易）
6821,已受理/立案
6822,已审理（简易）
6823,已审理（简易）
6824,已受理/立案
6825,其他撤诉
6826,已受理/立案
6827,已审理（简易）
6828,已审理（简易转普通）
6829,已审理（简易）
6830,已受理/立案
6831,空白
6832,已审理（简易）
6833,已受理/立案
6834,空白
6835,已审理（简易转普通）
6836,其他撤诉
6837,其他撤诉
6838,已受理/立案
6839,已审理（简易）
6840,空白
6841,已受理/立案
6842,已受理/立案
6843,已审理（简易）
6844,已审理（简易）
6845,已审理（简易）
6846,已审理（简易）
6847,已审理（简易）
6848,已受理/立案
6849,已审理（简易）
6850,已审理（简易）
6851,已受理/立案
6852,已审理（简易）
6853,已审理（简易）
6854,已受理/立案
6855,已审理（简易）
6856,已审理（简易）
6857,已受理/立案
6858,已审理（简易）
6859,已受理/立案
6860,已审理（简易）
6861,已受理/立案
6862,已审理
6863,已审理（简易）
6864,已审理（简易）
6865,已审理（简易）
6866,已审理（简易）
6867,已审理（简易）
6868,已审理（简易）
6869,已受理/立案
6870,已审理（简易）
6871,已受理/立案
6872,已受理/立案
6873,已受理/立案
6874,已受理/立案
6875,已受理/立案
6876,已审理（简易）
6877,调解撤诉
6878,已审理（简易）
6879,已受理/立案
6880,已审理（简易转普通）
6881,已审理（简易）
6882,已审理（简易）
6883,已受理/立案
6884,已审理（简易）
6885,已审理（简易）
6886,已审理（简易）
6887,已审理（简易转普通）
6888,已审理（简易）
6889,已审理（简易）
6890,已受理/立案
6891,已审理
6892,已审理（简易）
6893,已审理（简易）
6894,已审理（简易）
6895,已受理/立案
6896,已审理（简易）
6897,已审理（简易）
6898,已审理（简易）
6899,已受理/立案
6900,已审理（简易）
6901,已受理/立案
6902,已受理/立案
6903,已受理/立案
6904,已受理/立案
6905,已审理（简易转普通）
6906,已受理/立案（简易）
6907,空白
6908,未交费
6909,已受理/立案
6910,已审理（简易转普通）
6911,已审理（简易）
6912,已受理/立案
6913,已审理（简易转普通）
6914,其他/错误
6915,已受理/立案
6916,已受理/立案
6917,已受理/立案
6918,已受理/立案
6919,已受理/立案
6920,已审理（简易）
6921,已审理（简易）
6922,已审理（简易）
6923,已受理/立案
6924,已审理（简易）
6925,已审理（简易）
6926,已审理（简易）
6927,已审理（简易）
6928,已受理/立案
6929,已审理（简易）
6930,已受理/立案
6931,其他/错误
6932,已审理（简易）
6933,空白
6934,空白
6935,已审理（简易）
6936,已审理（简易）
6937,已审理
6938,已审理（简易）
6939,已审理（简易）
6940,已审理（简易）
6941,已审理（简易）
6942,已审理（简易）
6943,已受理/立案
6944,已受理/立案
6945,已审理（简易）
6947,已审理（简易）
6948,已审理（简易）
6949,已审理（简易）
6950,已审理（简易）
6951,已审理（简易）
6952,已审理（简易）
6953,已受理/立案
6954,已受理/立案
6955,已审理（简易）
6956,已受理/立案
6957,已审理（简易）
6958,已受理/立案
6959,已受理/立案
6960,已受理/立案
6961,已审理（简易转普通）
6962,已审理（简易）
6963,已受理/立案
6964,已审理（简易）
6965,未交费
6967,已审理（简易）
6968,已审理（简易）
6969,已审理（简易）
6970,已审理（简易）
6971,已审理（简易）
6972,未交费
6973,已受理/立案
6974,已审理（简易）
6975,已审理（简易）
6976,已审理（简易）
6977,已审理（简易）
6978,已审理（简易）
6979,已受理/立案
6980,已审理（简易）
6981,已审理
6982,已审理（简易）
6983,已审理（简易）
6984,已受理/立案
6985,已受理/立案
6986,已受理/立案
6987,已受理/立案
6988,已审理（简易）
6989,已审理（简易）
6990,已受理/立案
6991,已审理（简易）
6992,已审理（简易）
6993,已审理（简易）
6994,已受理/立案（简易）
6995,已受理/立案
6996,已审理（简易转普通）
6997,已审理（简易）
6998,已受理/立案
6999,已审理（简易）
7000,已受理/立案（简易）
7001,空白
7002,空白
7003,空白
7004,已受理/立案
7005,已受理/立案
7006,已审理（简易）
7007,已审理（简易）
7008,已审理（简易）
7009,已受理/立案（简易）
7010,已审理（简易转普通）
7011,已受理/立案
7012,已审理（简易）
7013,已审理（简易）
7014,已审理（简易）
7015,已受理/立案
7016,已受理/立案
7017,已审理（简易）
7018,已审理（简易）
7019,已受理/立案
7020,已审理（简易）
7021,已受理/立案（简易）
7022,已受理/立案
7023,已审理（简易）
7024,已受理/立案
7025,已受理/立案
7026,其他撤诉
7027,已审理（简易）
7028,已受理/立案
7030,已审理（简易）
7031,已受理/立案
7032,已审理（简易）
7033,已受理/立案
7034,其他撤诉
7035,已审理（简易）
7036,已审理（简易）
7037,已审理（简易）
7038,已审理（简易）
7039,已受理/立案
7040,已审理（简易）
7041,已受理/立案
7042,已审理（简易）
7043,已审理（简易）
7044,已受理/立案
7045,已受理/立案
7046,其他撤诉
7047,已受理/立案
7048,已受理/立案
7049,已受理/立案
7050,调解撤诉
7051,已审理（简易）
7052,已审理（简易）
7053,已审理（简易）
7054,已审理（简易）
7055,已审理（简易）
7056,已审理（简易）
7057,已审理（简易）
7058,已受理/立案
7059,已审理（简易）
7060,已审理（简易）
7061,已受理/立案（简易）
7062,已审理
7063,已受理/立案（简易）
7064,已受理/立案
7065,空白
7066,空白
7067,已审理（简易）
7068,已审理（简易）
7069,已审理（简易）
7070,已审理（简易）
7071,已审理（简易）
7072,已受理/立案
7073,空白
7074,已受理/立案（简易）
7076,已审理（简易转普通）
7077,已审理（简易）
7078,已受理/立案
7079,已受理/立案
7080,已审理（简易）
7081,已审理（简易）
7082,已审理（简易）
7083,已审理（简易）
7084,已审理（简易）
7085,已审理（简易）
7086,已审理（简易）
7087,已受理/立案
7088,已审理（简易）
7089,已受理/立案
7090,已受理/立案
7091,已审理（简易）
7092,已审理（简易）
7093,已审理（简易）
7094,已审理（简易）
7095,已受理/立案（简易）
7096,已审理（简易）
7097,已审理（简易）
7098,已审理（简易）
7099,申请财产保全
7100,已受理/立案
7101,已受理/立案
7102,已审理（简易）
7103,已受理/立案
7104,已受理/立案
7105,已受理/立案
7106,已审理（简易）
7107,已受理/立案
7108,已审理（简易）
7109,已受理/立案
7110,已受理/立案
7111,已受理/立案
7112,已受理/立案
7113,已审理（简易）
7114,已审理（简易）
7115,已受理/立案
7116,已受理/立案（简易）
7117,已审理（简易）
7118,已受理/立案
7119,已审理（简易）
7120,已审理（简易转普通）
7121,已审理（简易）
7122,调解撤诉
7123,已受理/立案
7124,已审理（简易）
7125,已受理/立案
7126,已审理（简易）
7127,已审理（简易）
7128,已审理（简易）
7129,已受理/立案
7130,已审理（简易）
7131,已受理/立案
7132,已受理/立案
7133,已审理（简易）
7134,已受理/立案
7135,已审理（简易）
7136,已审理（简易）
7137,已审理（简易）
7138,已审理（简易）
7139,其他/错误
7140,已审理（简易）
7141,已受理/立案
7142,已审理（简易）
7143,已审理（简易）
7144,已审理（简易）
7145,已审理（简易）
7146,已受理/立案
7147,已审理（简易）
7148,已审理（简易）
7149,已审理（简易）
7150,其他撤诉
7151,已审理（简易）
7152,已受理/立案
7153,已受理/立案（简易）
7154,已审理（简易）
7155,已受理/立案（简易）
7156,已受理/立案
7157,已审理（简易）
7158,已审理（简易）
7159,未交费
7160,已受理/立案
7161,已审理（简易）
7162,已审理（简易）
7163,已审理（简易）
7164,已审理（简易）
7165,已审理（简易）
7166,已审理（简易）
7167,已受理/立案
7168,已审理（简易）
7169,已审理（简易）
7170,其他撤诉
7171,已受理/立案
7172,空白
7173,已受理/立案
7174,空白
7175,已审理
7176,空白
7177,已受理/立案
7178,已受理/立案（简易）
7179,空白
7180,已受理/立案
7181,已审理（简易）
7182,已受理/立案
7183,已审理（简易）
7184,已审理（简易）
7185,已审理（简易）
7186,已审理（简易）
7187,已审理（简易）
7188,已受理/立案
7189,已审理（简易）
7190,已审理（简易转普通）
7191,已审理（简易）
7192,已受理/立案
7193,已审理（简易）
7194,已受理/立案
7195,已审理（简易）
7196,已审理（简易）
7197,已审理（简易）
7198,已受理/立案
7199,已审理（简易）
7200,已审理（简易）
7201,已审理（简易）
7202,已受理/立案
7203,已审理（简易）
7204,已审理（简易）
7205,已受理/立案
7206,已受理/立案
7207,已审理（简易）
7208,已受理/立案
7209,缺席审判
7210,已审理（简易）
7211,已审理（简易）
7212,已受理/立案
7213,已审理（简易）
7214,已审理（简易）
7215,已审理（简易）
7216,缺席审判
7217,已审理（简易）
7218,已受理/立案
7219,已审理（简易）
7220,已审理（简易）
7221,空白
7222,已审理（简易）
7223,已审理（简易）
7224,已审理（简易）
7225,已审理（简易）
7226,已受理/立案
7227,已审理（简易）
7228,已受理/立案
7229,已受理/立案
7230,已受理/立案（简易）
7231,已审理（简易）
7232,已审理（简易转普通）
7233,已审理（简易）
7234,缺席审判
7235,已受理/立案
7236,已受理/立案
7237,其他/错误
7238,已受理/立案
7240,已审理（简易）
7241,已受理/立案
7242,已受理/立案
7243,已审理（简易）
7244,已审理（简易）
7245,已受理/立案
7246,已审理（简易）
7247,未交费
7248,其他撤诉
7249,已审理（简易）
7250,已审理（简易）
7251,已审理（简易）
7252,已审理（简易）
7253,已受理/立案
7254,已受理/立案
7255,已审理（简易）
7256,已审理（简易）
7257,已审理（简易）
7258,未交费
7259,已审理（简易）
7260,已审理（简易）
7261,已审理（简易）
7262,已审理（简易）
7263,已受理/立案
7264,已审理（简易）
7265,已审理（简易）
7266,已审理（简易）
7267,已审理（简易）
7268,已受理/立案
7269,已受理/立案
7270,已受理/立案
7271,已审理（简易）
7272,已审理（简易）
7273,已审理（简易）
7274,已审理（简易）
7275,已审理（简易）
7276,已受理/立案
7277,已审理（简易）
7278,已审理（简易）
7279,已受理/立案
7280,已审理（简易）
7281,已审理（简易）
7282,已受理/立案
7283,已受理/立案
7284,已审理（简易）
7285,已审理（简易）
7286,已审理（简易）
7287,已受理/立案（简易）
7288,空白
7289,已审理（简易）
7290,已审理（简易）
7291,已审理（简易转普通）
7292,已审理（简易）
7293,已审理（简易）
7294,已审理（简易）
7295,已受理/立案
7296,已受理/立案
7297,已受理/立案
7298,已审理（简易）
7299,已审理（简易）
7300,已审理（简易）
7301,已受理/立案
7302,已审理（简易）
7303,已受理/立案
7304,已审理（简易）
7305,已审理（简易）
7306,已审理（简易）
7307,已审理（简易）
7308,其他/错误
7309,已审理（简易）
7310,已受理/立案
7311,已受理/立案（简易）
7312,其他/错误
7313,已审理（简易）
7314,已受理/立案
7315,已审理（简易）
7316,已受理/立案（简易）
7317,已审理（简易）
7318,已受理/立案
7319,已受理/立案
7320,已受理/立案
7321,已审理（简易）
7322,已受理/立案
7323,已审理（简易）
7324,已受理/立案
7325,已审理（简易）
7326,已审理（简易）
7327,已受理/立案
7328,已受理/立案
7329,未交费
7330,已审理（简易）
7331,已审理（简易）
7332,已审理（简易转普通）
7333,已审理（简易）
7334,其他/错误
7335,空白
7336,已受理/立案
7337,已审理（简易）
7338,已受理/立案
7339,已受理/立案
7340,已审理（简易）
7341,已受理/立案
7342,已受理/立案（简易）
7343,已受理/立案
7344,已审理（简易）
7345,其他撤诉
7346,已审理（简易）
7347,已审理（简易）
7348,已受理/立案
7349,已审理（简易）
7350,已受理/立案
7351,已受理/立案
7352,已审理（简易）
7353,已受理/立案
7354,已审理（简易）
7355,其他/错误
7356,已审理（简易）
7357,已审理（简易）
7358,已审理（简易）
7359,已审理（简易）
7360,已受理/立案
7361,缺席审判
7362,已审理（简易）
7363,已受理/立案
7364,已审理（简易）
7365,已审理（简易）
7366,已受理/立案
7367,已审理（简易）
7368,已受理/立案
7369,空白
7370,空白
7371,已审理（简易转普通）
7372,已审理（简易）
7373,已受理/立案
7374,已受理/立案
7375,已审理（简易）
7376,已审理（简易）
7377,已审理（简易）
7378,已审理（简易）
7379,已审理（简易）
7380,已审理（简易）
7381,已审理（简易）
7382,已受理/立案
7383,已审理（简易）
7384,已审理（简易）
7385,已审理（简易）
7386,已审理（简易）
7387,调解撤诉
7388,调解撤诉
7389,已审理（简易）
7390,已审理（简易）
7391,已受理/立案
7392,已受理/立案
7393,已审理（简易）
7394,已审理（简易）
7395,已审理（简易）
7396,未交费
7397,已审理（简易）
7398,已受理/立案
7399,已审理（简易）
7400,已审理（简易）
7401,已审理（简易）
7402,已审理（简易）
7403,已审理（简易）
7404,已审理（简易）
7405,已审理（简易）
7406,已受理/立案
7407,其他撤诉
7408,已审理（简易转普通）
7409,已审理（简易）
7410,已审理（简易）
7411,其他撤诉
7412,已受理/立案
7413,已审理（简易）
7414,已受理/立案
7415,缺席审判
7416,已审理（简易）
7417,已受理/立案
7418,已审理（简易）
7419,未交费
7420,已受理/立案
7421,已受理/立案
7422,已审理（简易）
7423,已受理/立案
7424,已审理（简易）
7425,其他撤诉
7426,已受理/立案
7427,已审理（简易）
7428,已审理（简易转普通）
7429,已审理（简易转普通）
7430,已受理/立案
7431,已受理/立案
7432,已审理（简易）
7433,已受理/立案
7434,已审理（简易）
7435,已审理（简易）
7436,已受理/立案
7437,已审理（简易）
7438,已审理（简易）
7439,已受理/立案
7440,已受理/立案
7441,已审理（简易）
7442,已审理（简易）
7443,已受理/立案（简易）
7444,已审理
7445,已受理/立案
7446,已审理（简易）
7447,已审理（简易）
7448,申请财产保全
7449,已受理/立案
7450,已审理（简易）
7451,已审理（简易）
7452,已受理/立案
7453,已受理/立案
7454,已受理/立案
7455,已受理/立案
7456,已受理/立案
7457,已审理（简易）
7458,已审理（简易）
7459,已审理（简易）
7460,已受理/立案（简易）
7461,已审理（简易）
7462,已受理/立案
7463,已审理（简易）
7464,已审理（简易）
7465,已审理（简易）
7466,已审理（简易）
7467,已审理（简易）
7468,已审理（简易）
7469,已审理（简易）
7470,已受理/立案
7471,已审理（简易）
7472,已受理/立案
7473,已审理（简易）
7474,已受理/立案
7475,已审理（简易）
7476,已审理（简易）
7477,已审理（简易）
7478,已受理/立案
7479,已审理（简易）
7480,已受理/立案
7481,已审理
7482,已受理/立案
7483,已受理/立案
7484,已审理（简易）
7485,已受理/立案
7486,已受理/立案
7487,已审理（简易）
7488,已受理/立案
7489,已受理/立案（简易）
7490,已审理（简易）
7491,已受理/立案
7492,已受理/立案
7493,已受理/立案
7494,已受理/立案
7495,缺席审判
7496,已受理/立案
7497,已受理/立案
7498,已审理（简易）
7499,已受理/立案
7500,已受理/立案
7501,已审理（简易）
7502,已受理/立案
7503,已审理（简易）
7504,已审理（简易）
7505,已审理（简易）
7506,其他撤诉
7507,已审理（简易）
7508,已审理（简易）
7509,已审理（简易）
7510,已受理/立案
7511,其他/错误
7512,已审理（简易）
7513,已审理（简易）
7514,已审理（简易）
7515,已受理/立案（简易）
7516,已审理（简易转普通）
7517,已受理/立案
7518,已审理
7519,已受理/立案（简易）
7520,已受理/立案
7521,已受理/立案
7522,已审理（简易转普通）
7523,已受理/立案
7524,其他/错误
7525,已受理/立案
7526,已受理/立案
7527,已审理（简易）
7528,已审理（简易）
7529,已审理（简易）
7530,已审理（简易）
7531,已审理（简易）
7532,其他撤诉
7533,已审理（简易）
7534,已审理（简易）
7535,已受理/立案
7536,已受理/立案
7537,已审理（简易）
7538,已审理（简易）
7539,已审理（简易）
7540,已审理（简易）
7541,已受理/立案
7542,已审理（简易）
7543,已受理/立案
